name;year;genre;director;cast;rating;votes
500 Ka Note;2002;*Thriller*;Tinnu Anand;*Birbal,Chandrashekhar,Siddharth Dhawan*;;
5ters: Castle of Dark Master;2011;*Action, Adventure, Fantasy*;G. Venugopal;*Akash,Avinash,Gagan*;4.6;19
6.40 PM;1967;**;Mani Kaul;*,,*;5.4;5
6387 Meters Black Peak;2020;*Documentary*;Kovid Mittal;*Kovid Mittal,,*;;
64 Kaam Kalayen;2002;*Thriller*;Hemant Birje;*Ankush Mohite,Kirti Rawal,*;;
6-5=2;2014;*Horror*;Bharat Jain;*Prashantt Guptha,Gaurav Paswala,Gaurav Kothari*;4.2;171
68 Pages;2007;*Drama*;Sridhar Rangayan;*Mouli Ganguly,Joy Sengupta,Jayati Bhatia*;6.2;31
69 Opposites Attract;2011;*Comedy*;Amit r Agarwal;*Amit r Agarwal,Kiran Kaur,*;;
69 Reality in Us;;*Drama, Romance, Thriller*;Samir Khan;*,,*;;
7 1/2 Phere: More Than a Wedding;2005;*Comedy, Drama*;Ishaan Trivedi;*Juhi Chawla,Irrfan Khan,Manoj Pahwa*;5.3;281
7 Bijliyaan;1988;*Action*;Raju Saigal;*Tina Ambani,Shoma Anand,Krishan Dhawan*;5;7
7 Days;1995;*Action, Drama*;Sunil Kumar;*Arvind Singh,Channa Ruparel,Avtar Gill*;3.4;10
7 Hours to Go;2016;*Crime, Thriller*;Saurabh Varma;*Sandeepa Dhar,Natasa Stankovic,Shiv Panditt*;5.7;398
7 Islands and a Metro;2006;*Documentary*;Dutta Madhusree;*Vibha Chhibber,Harish Khanna,Om Prakash*;6.2;10
7 Khoon Maaf;2011;*Drama, Mystery, Thriller*;Vishal Bhardwaj;*Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh*;6.1;"5;640"
7 Saal Baad;1987;*Drama, Horror, Musical*;S.U. Syed;*Sharmila Tagore,Suresh Oberoi,Navin Nischol*;4.1;34
706;2019;*Thriller*;Shravankumar Tiwari;*Mohan Agashe,Raayo S. Bakhirta,Divya Dutta*;5.3;449
72 Hours: Martyr Who Never Died;2019;*Action, Biography, Drama*;Avinash Dhyani;*Avinash Dhyani,Yeshi Dema,Alka Amin*;5.3;249
777 Charlie;;*Adventure, Comedy, Drama*;Kiranraj K;*Rakshit Shetty,Charlie,Sangeetha Sringeri*;;
7th Villa;2018;*Horror*;Ajay Arak;*Meenal Chauhan,Mansi Sharma,Vinit*;;
8 PM: A Murder Mystery;2008;*Mystery*;Sunil Bhojwani;*Krishna Abhishek,Ramesh Bachwani,Dravika*;;
8 x 10 Tasveer;2009;*Action, Fantasy, Mystery*;Nagesh Kukunoor;*Akshay Kumar,Ayesha Takia,Javed Jaffrey*;5.4;"5;459"
8119 Miles;2021;*Adventure, Drama, Mystery*;Joe Eshwar;*Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert*;6.6;21
'83;2021;*Biography, Drama, History*;Kabir Khan;*Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin*;;
88 Antop Hill;2003;*Mystery, Thriller*;Kushan Nandy;*Atul Kulkarni,Rahul Dev,Suchitra Pillai*;4.7;66
9 O' Clock;2017;*Action*;Amrit Raj Thakur;*Arun Bakshi,Ajeet Goswami,Rohit Rajawat*;5.3;9
9 Roads 2 Peace;;*Adventure*;Virendra Rathore;*,,*;;
9 to 12;2011;*Drama, Musical, Thriller*;Ashok Patil;*Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.*;;
99;2009;*Comedy, Crime, Drama*;Krishna D.K.;*Raj Nidimoru,Kunal Khemu,Boman Irani*;7.3;"2;767"
99 Songs;2019;*Musical, Romance*;Vishwesh Krishnamoorthy;*Ehan Bhat,Edilsy Vargas,Tenzing Dalha*;7.4;"1;901"
99.9 FM;2005;*Crime, Drama*;Sanjay Bhatia;*Shawar Ali,Rajkumar Kanojia,Jai Nagra*;4.8;38
A Ballad of Maladies;2016;*Documentary, Music*;Sarvnik Kaur;*Tushar Madhav,,*;;
A Ballad of Maladies;2016;*Documentary, History, Music*;Sarvnik Kaur;*Tushar Madhav,,*;;
A Billion Colour Story;2016;*Drama*;Padmakumar Narasimhamurthy;*Dhruva Padmakumar,Gaurav Sharma,Vasuki*;8.1;412
A Biopic from the Film Industry;2019;*Drama*;Sarkar Sahith;*Suman Rana,Hari Vishnu,*;;
A Call from the Past;2016;*Drama, Fantasy, Mystery*;Ajay Jain;*Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava*;;
A Cold Plan;2021;*Thriller*;Sanjay Raj;*Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj*;;
A Daughter's Dream;2014;*Drama, Family, Sport*;Manto Pashupatinath;*Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain*;;
A Daughter's Tale PANKH;2017;*Drama*;Premraaj;*Rajinder Verma,Sunil Lahri,Nishigandha Wad*;6.3;10
A Death in the Gunj;2016;*Drama, Thriller*;Konkona Sen Sharma;*Kalki Koechlin,Vikrant Massey,Gulshan Devaiah*;7.5;"4;637"
A Dream Document;2016;*Documentary*;Rupak Das;*,,*;;
A Far Afternoon: a Painted Saga by Krishen Khanna;2015;*Documentary, Biography*;Sruti Harihara Subramanian;*,,*;7.7;10
A Film by Aravind;2005;*Horror, Mystery*;Sekhar Suri;*Sherlyn Chopra,Rajeev Kanakala,Richard Rishi*;6.8;179
A Flat;2010;*Drama, Horror, Romance*;Hemant Madhukar;*Jimmy Sheirgill,Sanjay Suri,Hazel Croney*;4.5;202
A Flying Jatt;2016;*Action, Adventure, Comedy*;Remo D'Souza;*Tiger Shroff,Jacqueline Fernandez,Nathan Jones*;3;"4;145"
A Game Called Relationship;2020;*Comedy, Romance*;Vivek Sharma;*Mandy Takhar,Vivek Sharma,Sumit Suri*;6.3;181
A Gentleman;2017;*Action, Comedy*;Krishna D.K.;*Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez*;6.2;"5;227"
A Gift of Love: Sifar;2019;*Drama, Romance*;Dhruv Sachdev;*Sanjay Deyali,Sudha Chandran,Anang Desai*;8;33
A Handful of Grain;1959;*Drama*;Mehboob Khan;*,,*;;
A Journey of Samyak Buddha;2013;*Drama*;Praveen Damle;*Geeta Agrawal,Jyoti Bagat,Gautam Dhengare*;7.3;17
A Mermaid Called Aida;1996;*Documentary*;Riyad Vinci Wadia;*Aida Banaji,Ajay Mehta,*;6.4;7
A Mistake (Ek Galti);2021;*Thriller*;Chand Mehta;*Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil*;;
A New Love Ishtory;2013;*Romance*;John Mathew Matthan;*Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar*;6;80
A Night in Calcutta;1970;*Drama*;Amrit Mahendra;*Master Bhagwan,Simi Garewal,Jagdev*;;
A Rape Song;2019;*Crime, Drama*;Jacob Paul;*Uday Bhan Mourya,Anjali Ujawane,*;;
A Rifle and a Bag;2020;*Documentary*;Cristina Hanes;*Isabella Rinaldi,Arya Rothe,*;6.8;15
A Scandall;2016;*Thriller*;Ishaan Trivedi;*Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul*;3.1;142
A Separate Sky;2021;*Drama*;Raajhorshee De;*Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das*;;
A Sketch Killer: Who's Next;1997;*Thriller*;Vinod Alva;*Kalyan Kumar,Raghuvaran,*;;
A Small Family;1976;*Documentary*;Fali Bilimoria;*,,*;;
A Song for No One;;*Comedy, Drama, Music*;Arturo Alanis Garza;*Kavya Trehan,Victoria Kuhne,*;;
A Story of a Call Girl;2000;*Thriller*;Teerat Singh;*Pinky Chinoy,Ali Khan,Anjali Kolhapuri*;;
A Strange Love Story;2011;*Drama*;Tarique Khan;*Sahil Seth,Gunjan Bakshi,Snehal Dabi*;3.8;15
A Sublime Love Story: Barsaat;2005;*Drama, Romance*;Suneel Darshan;*Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas*;3.8;627
A Suitable Girl;2017;*Documentary*;Sarita Khurana;*Smriti Mundhra,Sima Taparia,*;6.9;337
A Thin Line;2019;*Drama*;Vierendrra Lalit;*Trivikram Mattoo,Rahul Roy,Akansha Shivhare*;7.9;24
A Thursday;2021;*Drama, Thriller*;Behzad Khambata;*Dimple Kapadia,Yami Gautam,Neha Dhupia*;;
A Treasure in the Snow;2002;*Documentary*;Goutam Ghose;*,,*;6.9;8
A Twist of Date;2017;*Comedy, Horror, Mystery*;Kashmera Shah;*Kashmera Shah,,*;;
A Wednesday;2008;*Action, Crime, Drama*;Neeraj Pandey;*Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill*;8.1;"75;118"
A.R Rahman Encore Tour;2017;*Musical*;Deepak Gattani;*A.R. Rahman,,*;;
Aa Ab Laut Chalen;1999;*Musical, Romance, Drama*;Rishi Kapoor;*Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan*;5.5;"1;621"
AA BB KK;2018;*Drama*;Ramkumar Shedge;*Shravani Abhang,Sajid Ali,Tamannaah Bhatia*;8;249
Aa Bhi Ja O Piya;2021;*Family, Romance*;Rajesh Harivansh Mishra;*Abhijeet Lahiri,Akanksha Sinha,Mukul Nag*;;
