name;year;genre;director;cast;rating;votes
Majboor;1964;*Drama, Family*;Narendra Suri;*Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar*;6.1;8
Majboor;1948;*Drama, Family*;Arvind Sen;*Nalini Jaywant,Kishore Kumar,Sajjan*;;
Majboor Ladki;1991;*Thriller*;Ram Pahwa;*Pankaj Dheer,Javed Khan,Alok Nath*;2.8;9
Majboori;1954;**;Ram Daryani;*Gulab,Jeevan,M. Kumar*;;
Majboori;1986;*Drama*;Harnam Singh;*Baby Sonu,Sunayna,*;;
Majhe;2021;*Drama*;Amarpal Singh Fauzdar;*Anindita Ghosh,Somnath Mondal,Priyanka Dasgupta*;;
Majhli Didi;1967;*Drama*;Hrishikesh Mukherjee;*Meena Kumari,Dharmendra,Lalita Pawar*;7.7;85
Majjma;2021;*Drama*;Prabhat Sachdeva;*Amit Bhardwaj,Gagansharmaknl,Nanda Yadav*;8.1;24
Majma;2001;*Documentary*;Rahul Roy;*,,*;;
Majnu;1935;**;Roshan Lal Shorey;*Mukhtar Begum,Zahoor Shah,Shyama Zutshi*;;
Major;2021;*Action, Biography, Drama*;Sashi Kiran Tikka;*Sobhita Dhulipala,Prakash Raj,Adivi Sesh*;;
Major Saab;1998;*Action, Drama, Romance*;Tinnu Anand;*Amitabh Bachchan,Ajay Devgn,Sonali Bendre*;5.3;"2;083"
Majunu;2001;*Action, Drama, Romance*;Ravichandran;*Prashanth,Rinke Khanna,Raghuvaran*;5.2;124
Makadjaala - A political trap;2015;**;Dinesh Kumar Sahu;*Amit Auumkaar,Ashmita Kaur Bakshi,Ashok Banthia*;;
Make in India;2019;*Drama*;B.K. Singh;*Surinder Yadav,Saumendra Dash,Sushil Dubey*;7;9
Making India Accessible;2019;*Documentary*;Pankaj Johar;*,,*;;
Making of the Film - Jab Tak Hai Jaan;2014;*Documentary*;Santosh Kumar;*Shah Rukh Khan,Yash Chopra,Anushka Sharma*;;
Makkhee Choos;1956;*Comedy, Drama, Romance*;Ramchandra Thakur;*Shyama,Mahipal,Jeevan*;;
Mala;1941;*Drama*;Balwant Bhatt;*Rose,Paidi Jairaj,Jayant*;;
Mala the Mighty;1948;**;John Cawas;*John Cawas,Leela,Dalpat*;;
Malaal;2019;*Action, Drama, Romance*;Mangesh Hadawale;*Meezaan Jafri,Sharmin Segal,Chinmayee Surve*;6;850
Malamaal Weekly;2006;*Comedy*;Priyadarshan;*Paresh Rawal,Om Puri,Riteish Deshmukh*;7;"6;120"
Malan;1942;**;Alaknanda;*Rattan Bai,,*;;
Malang;2020;*Action, Crime, Drama*;Mohit Suri;*Aditya Roy Kapoor,Anil Kapoor,Disha Patani*;6.5;"8;972"
Malati Madhav;1933;**;Anand Prasad Kapoor;*Sardar Akhtar,Gulab,Iqbal*;;
Maldar;1951;**;Balraj Sahni;*,,*;;
Malhar;1951;*Family, Drama*;Harish;*Arjun,Shammi,Moti Sagar*;4.9;10
Mali;1944;**;Keshavrao Date;*Sangit-Kalanidbi,Mahipal,*;;
Malik;1958;*Drama, Family*;S.M. Yusuf;*Talat Mahmood,Suraiya,Jeevan*;;
Malik Ek;2010;*Biography, Drama, History*;Deepak Balraj Vij;*Akanksha,Rana Jung Bahadur,Sudesh Berry*;6.6;23
Malika;1947;**;Ilyas Kashmiri;*Shobhna Samarth,,*;;
Malika;1956;**;Shakila;*,,*;;
Malka-e-Alam Noorjehan;1954;**;Gunjal;*Gajanan Jagirdar,Jankidas,Jagdish Kanwal*;;
Malkin;1953;**;O.P. Dutta;*Durga Khote,Nutan,Pran*;;
Malkin;2001;*Drama, Thriller*;Kishan Shah;*Hemant Birje,Satnam Kaur,Ali Khan*;;
Mall Road;1962;*Romance*;Bela Bose;*Chandrashekhar,Surya Kumar,Amrit Rana*;;
Malli;1998;*Drama*;Santosh Sivan;*Shweta,Sweta,*;7.6;54
Mallika;2010;*Horror, Mystery, Thriller*;Wilson Louis;*Anjum Nayar,Sammir Dattani,Mamik Singh*;4.6;52
Mallika Soloni;1953;**;Mohammed Hussain;*Helen,Kamran,Krishna Kumari*;;
Mama Bhanja;1977;*Comedy, Drama, Family*;Naresh Kumar;*Shammi Kapoor,Randhir Kapoor,Parveen Babi*;6.7;27
Mamaji;1942;*Drama, Family*;Narottam Vyas;*Lalita Pawar,Nandrekar,Jeevan*;;
Mamata Ki Chhaon Mein;1989;*Drama, Family*;Amit Kumar;*Kishore Kumar,Ashok Kumar,Amit Kumar*;5.5;17
Mamma the spirit;2020;*Horror*;Sunil Varma;*Raj Agrawal,Mo Ansari,Tridev Lohiya*;;
Mammo;1994;*Drama*;Shyam Benegal;*Farida Jalal,Surekha Sikri,Amit Phalke*;7.7;406
Mamta;1936;*Drama, Family*;Franz Osten;*Devika Rani,,*;;
Mamta;1966;*Drama, Romance*;Asit Sen;*Ashok Kumar,Dharmendra,Suchitra Sen*;6.8;116
Mamta;1952;**;Gunjal;*,,*;;
Mamta;1965;**;Phani Majumdar;*,,*;;
Mamta;1942;**;Pushpa;*,,*;;
Mamta;1977;*Drama*;Phani Majumdar;*Vidya Sinha,Parikshit Sahni,Bandana Adhikari*;;
Mamta;;*Drama*;Afzal Ahmed;*,,*;;
Mamta Ki Chhaaon Mein;2005;*Drama*;;*,,*;;
Mamta Ki Saugandh;1994;*Drama*;Prasun Banerjee;*Jairaj Joshi,Ravi Patwardhan,Sanchita*;;
Man Jaiye;1972;*Drama, Family*;B.R. Ishara;*Rakesh Pandey,Rehana Sultan,Asit Kumar Sen*;;
Man Ka Aangan;1979;*Drama*;I.V. Sasi;*Basi Bahadur,Adoor Bhawani,Kanaka Durga*;;
Man Ka Meet;1950;*Drama, Romance*;Ratilal Hemchand Punatar;*Manher Desai,Dulari,Nirupa Roy*;;
Man Ka Meet;1969;*Action, Thriller*;Adurthi Subba Rao;*Som Dutt,Leena Chandavarkar,Om Prakash*;5.7;21
Man Ki Aankhen;1970;*Drama*;Raghunath Jhalani;*Waheeda Rehman,Dharmendra,Sujit Kumar*;6.6;41
Man Ki Jeet;1944;*Drama, Romance*;W.Z. Ahmed;*Neena,Nina,Rajkumari*;;
Man Mandir;1971;*Drama, Family*;Tapi Chanakya;*Waheeda Rehman,Sanjeev Kumar,Sudesh Kumar*;5.2;32
Man on Mission Fauladi;2004;*Action*;Mohan Babu;*Nataneya Singh,Soundarya,*;4.8;126
Man On Mission Jaanbaaz;2005;*Action*;Mohan Babu;*Raghu Babu,,*;4.7;137
Man on Mission Taqatwar;2005;*Action*;Abbas;*Aishwarya,Mohan Babu,Charmy Kaur*;8.7;84
Man Pasand;1980;*Comedy, Drama*;Basu Chatterjee;*Dev Anand,Tina Ambani,Girish Karnad*;6.4;99
Man Pasand Mehbooba;2005;*Thriller*;;*,,*;;
Man Tera Tan Mera;1971;*Drama, Romance*;B.R. Ishara;*Anil Dhawan,Rehana Sultan,Shatrughan Sinha*;;
"Man; Woman; #MeToo";2019;*Documentary*;Ashwin Rai Shetty;*Nandita Gupta,Shashank Arora,Richa Chadha*;;
MANADA NO MOR;1989;*Drama*;Mehul Kumar;*,,*;;
Manasarovar;2004;*Drama*;Anup Kurian;*Atul Kulkarni,Neha Dubey,Zafar Karachiwala*;6.9;80
Manav Aur Manovigyan;1991;*Thriller*;;*,,*;;
Manavata;1972;*Drama, Romance*;Tapi Chanakya;*Sawroop Butta,Swarup Dutt,Radha Saluja*;7.3;6
Manchala;1953;**;Jayant Desai;*Manher Desai,Jeevan,Krishna Kumari*;;
Manchala;1999;*Romance*;Jayprakkash Shaw;*Vivek Mushran,Gauri Khopkar,Rakesh Bedi*;5.2;5
Manchali;1973;*Comedy, Romance, Musical*;Raja Nawathe;*Sanjeev Kumar,Leena Chandavarkar,Nazima*;6.5;129
Manchali;1943;**;R.C. Talwar;*Manorama,,*;;
Manchali;1962;**;R C Talwar;*Suresh Naik,Mallik Shahzada,Mahesh Shastri*;;
Manchali Ladkiyan;1999;*Thriller*;Pratap Chandra;*Vennila Sopna,,*;;
Manchalti Haseena;1999;*Thriller*;;*,,*;;
MANDALI;;*Drama, Romance*;Rakesh Chaturvedi Om;*Vineet Kumar,Kanwaljit Singh,Saharsh Kumar Shukla*;;
Mandbuddhi;2021;*Drama*;Sanjay Sakshii;*Gaurav Prateek,Anup Jalota,Deepraj Rana*;;
Mandeira: Lost in Memory;;*Drama, Romance, Thriller*;;*,,*;;
Mandi;1983;*Comedy, Drama*;Shyam Benegal;*Shabana Azmi,Smita Patil,Naseeruddin Shah*;7.5;744
Mandi: Ek Prem Katha;2017;*Drama*;Tarun R. Takshy;*Avani Modi,Saanvi Dhiman,Milind Gunaji*;;
Mandir;1937;**;Abdul Rashid Kardar;*Rajkumari,,*;;
Mandir;1948;**;Dinkar D. Patil;*Master Vinayak,Shahu Modak,Shanta Apte*;;
Mandir Masjid;1977;*Drama*;Mohammed Hussain;*Yogeeta Bali,Master Bhagwan,Nasir Hussain*;6.2;5
Mang Le Tu Mang Le;2001;*Thriller*;Kanti Shah;*,,*;;
Mangal Dada;1986;*Action, Drama*;Ramesh Gupta;*Sunil Dutt,Reena Roy,Sarika*;;
Mangal Ho;2017;*Comedy, Sci-Fi*;Pritish Chakraborty;*Mukesh S. Bhatt,Pritish Chakraborty,Vrajesh Hirjee*;;
Mangal Ho 2;;*Comedy*;Pritish Chakraborty;*Pritish Chakraborty,,*;;
Mangal Ho 3;;*Comedy*;Pritish Chakraborty;*Pritish Chakraborty,,*;;
Mangal Pandey;1983;*Action, Crime, Drama*;Harmesh Malhotra;*Ranjit Sood,Ajit,Harbans Darshan M. Arora*;5.9;29
Mangal Pandey: The Rising;2005;*Biography, Drama, History*;Ketan Mehta;*Aamir Khan,Rani Mukerji,Toby Stephens*;6.6;"9;520"
Mangala vaathiyam;1979;*Drama*;K. Shankar;*Kamal Haasan,Sripriya,Gandhimathi*;;
Mangalashtak Once More;2013;*Drama, Romance*;Samir Joshi;*Mukta Barve,Mangesh Borgaonkar,Hemant Dhome*;6.2;105
Mangalsutra;1947;**;Gunjal;*,,*;;
Mangalsutra;1981;*Horror, Thriller*;Vijay B.;*Rekha,Anant Nag,Prema Narayan*;6.5;48
Mangetar;1972;**;Rupa Sain;*Nasir Hussain,Durga Khote,Pradeep Kumar*;;
Mangla;1951;**;S.S. Vasan;*Badri Prasad,Agha,David Abraham*;;
Mangni;1994;*Drama*;B.R. Ishara;*,,*;;
Mangni;1992;*Drama*;B.R. Ishara;*Raja Bundela,Saahil Chadha,Pallavi Joshi*;;
Mango;;*Comedy, Crime*;Abbas Tyrewala;*Swara Bhaskar,Rannvijay Singh,Chandan Roy Sanyal*;;
Mangu;1954;*Action*;Nisar Ahmad Ansari;*Sheikh Mukhtar,Sheila Ramani,Mukri*;;
Mangu Dada;1970;*Action*;Maruti;*Sheikh Mukhtar,Sujit Kumar,Faryal*;;
Maniac 2: Hell is back;;*Fantasy, Mystery, Thriller*;Prashant Passy Pilley;*Kunal Kapoor,Tia Bajpai,Manoj Joshi*;;
Manikanda;2007;*Action, Crime, Drama*;Selva;*Annapoorna,Madhan Bob,Vagai Chandrasekar*;3.6;38
Manikarnika: The Queen of Jhansi;2019;*Action, Biography, Drama*;Radha Krishna Jagarlamudi;*Kangana Ranaut,Kangana Ranaut,Danny Denzongpa*;6.4;"10;230"
Manjari;1934;**;Moti B. Gidwani;*,,*;;
Manjhdhar;1947;**;Sohrab Modi;*Rafiq Ghaznavi,,*;;
Manjhi: The Mountain Man;2015;*Adventure, Biography, Drama*;Ketan Mehta;*Nawazuddin Siddiqui,Radhika Apte,Ashutosh Acharya*;8;"18;207"
Manju Ka Pyar;1992;*Romance*;;*,,*;;
Manjunath;2014;*Biography, Drama*;Sandeep A. Varma;*Anjori Alagh,Karan Ashar,Aarun D. Baliean*;7.2;478
Manmani;1947;**;Sarvottam Badami;*Eddie Billimoria,Ragni,*;;
Manmatha Leelai;1976;*Comedy, Drama, Romance*;K. Balachander;*Aalam,Hema Chaudhari,Kamal Haasan*;6.7;114
Man-Mauji;1962;*Comedy, Musical*;R. Krishnan;*S. Panju,Kishore Kumar,Sadhana*;7.1;39
Manmohan;1936;**;Mehboob Khan;*Bibbo,Surendra,Lala Yaqoob*;;
Manmohini;1998;*Romance*;Anil Pandit;*Rakhi Sawant,,*;;
Mann Ke Rang;2017;*Drama*;Rahul Rai Gupta;*Raj,Abhishek,Ansh*;;
Mannu Dhakad Man;2006;*Family, Romance, Sci-Fi*;Dinesh Chaudhary;*Kavita Joshi,Uttar Kumar,*;;
Mano Na Mano;1955;*Drama*;B.K. Adarsh;*Baldev,Chitra,Uma Dutt*;;
Manohar Pandey;;*Drama*;Kaushik Ganguly;*Raghuvir Yadav,Saurabh Shukla,Supriya Pathak*;;
Manohara;1954;**;L.V. Prasad;*Shivaji Ganesan,Girija,Kannamba*;7.3;46
Manohara;1954;**;L.V. Prasad;*Kannamba,Pandharibai,*;;
Manoj Bhaiya;2008;*Drama*;Manish Shrivastava;*Ayub Khan,Ash Kumar,Smriti Mohan*;;
Manokaamnaa;1980;*Drama, Romance*;Kedar Kapoor;*Urmila Bhatt,Shail Chaturvedi,Kalpana Iyer*;7.1;15
Manorama;1944;**;Jayant Desai;*Noor Mohammad Charlie,Leela Chitnis,Ishwarlal*;;
Manorama: Six Feet Under;2007;*Crime, Drama, Mystery*;Navdeep Singh;*Abhay Deol,Gul Panag,Raima Sen*;7.6;"7;563"
Manoranjan;1974;*Comedy, Musical, Romance*;Shammi Kapoor;*Shammi Kapoor,Sanjeev Kumar,Zeenat Aman*;6.8;214
Manoranjan the Entertainment;2003;*Thriller*;Baby Lona;*Shakeela,,*;;
Manoranjan: The Entertainment;2006;*Action, Comedy, Crime*;Kaaran Choudhary;*Sudhanshu Pandey,Aryan Vaid,Aditi Govitrikar*;;
Manovancha Phalasiddirastu;2020;*Drama*;Rajesh Sarma;*Indhu Oruganti,Pranay,Shiva Ramakrishna*;;
Mansarovar;1946;**;David Abraham;*,,*;;
Mansoor Miyanar Ghora;2000;*Drama*;Nabyendu Chatterjee;*Baisul Islam Asad,Archana Banerjee,Arun Mukherjee*;6.2;15
Mansukh Chaturvedi Ki Atmakatha;2019;*Drama*;Sachin Gupta;*Sandeep Singh,Anamika Shukla,Monika*;;
Manthan;1941;**;Rajkumari;*,,*;;
Manthan: Ek Kashmakash;2008;*Action*;Kumar Raj;*Sanjay Kumar,Kradhikka,Alok Nath*;;
Manthrikan;2012;*Comedy, Drama, Horror*;Anil;*Poonam Bajwa,Natasha Doshi,Muktha George*;3.4;69
Manto;2018;*Biography, Drama*;Nandita Das;*Nawazuddin Siddiqui,Rasika Dugal,Tahir Raj Bhasin*;7.4;"3;929"
Mantostaan;2017;*Drama, History*;Rahat Kazmi;*Bhanu Pratap Singh,Sonal Sehgal,Shoib Shah*;6;89
Mantra Shakti;2002;*Horror*;Aishwarya;*Shweta Menon,Siddique,*;;
Manu the Great;1989;*Crime, Drama, Fantasy*;Manu Narang;*Raj Kiran,Kapil Mohan,Manu Narang*;;
Manvee;2021;*Drama*;Tanmay Nag;*Jayanta Mondal,Sagar Kumar,Peehu Biswas*;;
Manzil;1960;*Drama, Romance*;Mandi Burman;*Dev Anand,Nutan,K.N. Singh*;6;65
Manzil;1979;*Drama, Romance, Family*;Basu Chatterjee;*Amitabh Bachchan,Moushumi Chatterjee,Rakesh Pandey*;6.9;289
Manzilein Aur Bhi Hain;1974;*Drama*;Mahesh Bhatt;*Gulshan Arora,Kabir Bedi,Mukesh Bhatt*;4.2;16
Manzoor;1949;*Drama, Romance*;Subodh Mitra;*Asitbaran,Chhabi Biswas,Asita Bose*;;
Maqaar;1986;*Action*;Krishna Sethi;*Chandrashekhar,Bindiya Goswami,Madhu Malhotra*;;
Maqbool;2003;*Crime, Drama, Thriller*;Vishal Bhardwaj;*Irrfan Khan,Tabu,Pankaj Kapur*;8.1;"10;024"
Maqsad;1984;*Action, Crime*;K. Bapaiah;*Rajesh Khanna,Jeetendra,Jaya Prada*;5.9;83
Mar Mitenge;1988;*Action*;Kawal Sharma;*Jeetendra,Mithun Chakraborty,Madhavi*;4.5;30
Mard;1985;*Action, Drama, Romance*;Manmohan Desai;*Amitabh Bachchan,Amrita Singh,Nirupa Roy*;6.2;"1;604"
Mard;;*Romance*;Sai Kabir;*Randeep Hooda,,*;;
Mard;1998;*Action*;Ganpati Bohra;*Mithun Chakraborty,Ravali,Kader Khan*;4.2;31
Mard Ka Bachcha;1936;**;Ajay Kumar;*Zohra,,*;;
Mard Ka Badla;1988;*Action*;;*,,*;;
Mard Ki Zabaan;1987;*Action*;K. Bapaiah;*Dharmendra,Jackie Shroff,Poonam Dhillon*;4.5;20
Mard Ko Dard Nahin Hota;2018;*Action, Comedy*;Vasan Bala;*Abhimanyu Dasani,Radhika Madan,Mahesh Manjrekar*;7.4;"6;647"
Mardaani;2014;*Action, Crime, Drama*;Pradeep Sarkar;*Rani Mukerji,Tahir Raj Bhasin,Priyanka Sharma*;7.3;"11;913"
Mardaani 2;2019;*Action, Crime, Drama*;Gopi Puthran;*Sunny Hinduja,Rani Mukerji,Rajesh Sharma*;7.4;"8;198"
Mardangi;1988;*Action, Thriller*;S.R. Pratap;*Aman Virk,Hemant Birje,Dara Singh*;;
Mardangi;2005;*Action*;Aasika;*Babu Mohan,Sundar,*;;
Mardani;1983;*Action, Crime, Drama*;Govind Kulkarni;*Master Makrand Bapat,Kamini Bhatia,Chhagan Bhujbal*;6.4;14
Marde Maidan;1935;**;Gulzar;*Kanta,,*;;
Mardon Mein Mard;1987;*Action*;Kukoo Kapoor;*Archana Joglekar,Goga Kapoor,Shakti Kapoor*;;
Mardon Wali Baat;1988;*Action, Adventure, Comedy*;Brij;*Dharmendra,Sanjay Dutt,Shabana Azmi*;5;54
Marega Salaa;2009;*Crime, Drama, Mystery*;Devang Dholakia;*Jimmy Sheirgill,Kim Sharma,Hrishitaa Bhatt*;4.9;46
Margarita with a Straw;2014;*Drama*;Shonali Bose;*Nilesh Maniyar,Kalki Koechlin,Revathi*;7.2;"3;565"
MarginalizedAadhaar;2021;*Documentary*;Subhashish Panigrahi;*Ramani,Usha Ramanathan,Dinabandhu Gamango*;;
Marichika;1988;*Drama*;Kesar Vasistha;*Chitra,Vishwanath,Raghuvir Yadav*;;
Marigold;2007;*Comedy, Music, Romance*;Willard Carroll;*Salman Khan,Ali Larter,Nandana Sen*;4.8;"1;890"
Marika The Aatrupt;;*Horror*;Mohammad Zahid Ahmed;*Sapna Pabbi,Aditya Seal,Poonam Kaur*;;
Marine Drive;1955;*Action, Crime, Drama*;G.P. Sippy;*Bina Rai,Ajit,K.N. Singh*;6.4;16
Marjaavaan;2019;*Action, Drama, Romance*;Milap Zaveri;*Riteish Deshmukh,Sidharth Malhotra,Tara Sutaria*;3.6;"3;146"
Mark..!;2020;*Thriller*;;*,,*;;
Market;2003;*Drama, Musical*;Jayprakkash Shaw;*Manisha Koirala,Suman Ranganath,Aryan Vaid*;3.5;132
Marksheet;2019;*Drama*;Kamal Chandra;*Mahesh Bhatt,Satyakam Gupta,Rajiv Mishra*;;
Marma;2002;*Drama, Horror, Mystery*;Sunil Kumar Desai;*Anand,Shringar Nagaraj,Prema*;6.3;33
Marma Mudichu;2020;*Horror*;Pran;*Chethan,Shobha Rani,Rohith*;6.8;6
Marne Bhi Do Yaaron;2019;*Comedy*;Kashmira Shah;*Krishna Abhishek,Kashmira Shah,Rishaab Chauhaan*;4.9;73
Maroon;2017;*Thriller*;Pulkit;*Devyani Cm,Manav Kaul,Saurabh Sachdeva*;5.1;291
Married 2 America;2012;*Thriller*;Dilip Shankar;*Archana Joglekar,Akhilendra Mishra,Chetan Pandit*;4.2;17
Marshal;2002;*Action*;Manish R. Khandelwal;*Ishrat Ali,Liyaqat Bari,Mithun Chakraborty*;5.4;17
Marte Dam Tak;1987;*Action, Drama*;Mehul Kumar;*Raaj Kumar,Govinda,Farha Naaz*;4.9;108
Martyrs of Marriage;2016;*Documentary*;Deepika Narayan Bhardwaj;*,,*;8.5;166
Marudhar Express;2019;*Drama, Romance*;Vishal Mishra;*Kunaal Roy Kapur,Tara-Alisha Berry,Rajesh Sharma*;6.1;554
Maruti Mera Dosst;2009;*Animation, Adventure, Drama*;Manikya Raju;*Shahbaaz Khan,Sushmita Mukherjee,Erik A. Nanda*;7.9;53
Marvel Man;1964;*Action*;Shakeela Bano Bhopali;*Chandrakant,Mahesh Desai,Dhanraj*;;
Mary Kom;2014;*Action, Biography, Drama*;Omung Kumar;*Priyanka Chopra Jonas,Sunil Thapa,Robin Das*;6.8;"10;089"
Maryada;1971;*Family, Romance*;Aravind Sen;*Rajesh Khanna,Raaj Kumar,Mala Sinha*;7.1;61
Masaan;2015;*Drama*;Neeraj Ghaywan;*Richa Chadha,Sanjay Mishra,Vicky Kaushal*;8.2;"24;900"
Masala Chai;2017;*Documentary*;Marco H�lser;*Mohammad Chacha,Gouri Mahato,Subodh Pramod*;8.2;27
Masala Republic;2014;*Comedy, Thriller*;Visakh G S;*Indrajith Sukumaran,Soubin Shahir,Vinay Forrt*;5.2;105
Masangram;1990;**;;*,,*;;
Maseeha;2002;*Action, Crime, Drama*;Partho Ghosh;*Sunil Shetty,Namrata Shirodkar,Inder Kumar*;4.1;74
Mashaal;1950;*Drama*;Nitin Bose;*Ashok Kumar,Sumitra Devi,Ruma Guha Thakurta*;6.2;5
Mashaal;1984;*Action, Drama, Family*;Yash Chopra;*Anil Kapoor,Dilip Kumar,Waheeda Rehman*;7.3;655
Mashooka;1953;*Romance*;Shanti Kumar;*Mukesh,Suraiya,Durga Khote*;;
Mashooka;2005;*Drama, Musical, Romance*;Afzal Ahmad;*Aditya Bal,Meghna Naidu,Vidya Malvade*;5.3;30
Mashooq;1992;*Drama, Romance*;H.M. Mirza;*Mahrukh Mirza,Shahrukh Mirza,Ayub Khan*;5.3;43
Maska;2020;*Comedy, Drama, Romance*;Neeraj Udhwani;*Prit Kamani,Manisha Koirala,Shirley Setia*;5.8;"1;317"
Maska;2009;*Action, Comedy, Drama*;Gopal B.;*Ram Pothineni,Hansika Motwani,Sheela Kaur*;5.2;284
Maskhara;2021;*Drama, Thriller*;Jaimin Bal;*Prachi Desai,Sumeet Vyas,Prashant Narayanan*;;
Masoom;1983;*Drama*;Shekhar Kapur;*Naseeruddin Shah,Shabana Azmi,Jugal Hansraj*;8.4;"3;771"
Masoom;1960;*Drama*;Satyen Bose;*Sarosh Irani,Aziz,Honey Irani*;7.3;23
Masoom;1941;**;S.F. Hasnain;*,,*;;
Masoom;1996;*Action, Comedy, Thriller*;Mahesh Kothare;*Tinnu Anand,Sulabha Arya,Arun Bakshi*;5.8;95
Masoom Chudail;2000;*Horror*;Rajni Chandra;*Ajay Raj,Damini Kanwal Shetty,*;;
Massey Sahib;1986;*Drama*;Pradip Krishen;*Raghuvir Yadav,Barry John,Arundhati Roy*;7.2;105
Mast;1999;*Comedy, Musical, Romance*;Ram Gopal Varma;*Aftab Shivdasani,Urmila Matondkar,Dalip Tahil*;5.4;903
Mast Curry;2014;*Comedy*;Amit r Agarwal;*Amit r Agarwal,,*;;
Mast Fakir;1934;**;D.N. Madhok;*Moti,Sushila,*;;
Mast Kalandar;1991;*Action, Drama, Thriller*;Rahul Rawail;*Dharmendra,Dimple Kapadia,Shammi Kapoor*;5.2;44
Mast Qalandar;1955;*Drama, Family*;Kedar Kapoor;*Mahipal,Shakila,Johnny Walker*;;
Mastaani;2005;*Drama*;K. Ravi Raj;*Akshay Bedi,Sonia Bhagiyaa,Shabnam Kapoor*;4.4;19
Mastan Dada;1977;*Action, Crime, Thriller*;Satyen Bose;*Ashok Kumar,Sanjay Khan,Parveen Babi*;;
Mastana;1954;*Drama, Family*;Harnam Singh Rawail;*Motilal,Nigar Sultana,Chandrashekhar*;6.7;6
Mastana;1970;*Drama, Comedy, Family*;Adurthi Subba Rao;*Mehmood,Padmini,Bharathi*;6.8;51
Mastana Mashook;1936;**;Ansuya;*,,*;;
Mastang Mama;2010;*Comedy*;Vikram Singh;*Asrani,Ravi Baswani,Gulshan Grover*;;
Mastani;1955;**;Dhirubhai Desai;*Agha,Manher Desai,Shahu Modak*;;
Mastani Dilruba;2005;*Thriller*;;*,,*;;
Mastani Girls;2007;*Drama*;Priyanka;*,,*;;
Master;2001;*Action*;Suneil Anand;*Suneil Anand,Ting Leung,Sadashiv Amrapurkar*;4.8;24
Master Man;1938;*Action*;Leela Chitnis;*Jeevan,,*;;
Masterji;1985;*Comedy, Drama, Romance*;K. Raghavendra Rao;*Rajesh Khanna,Sridevi,Anita Raj*;6.5;95
Masti;2004;*Comedy, Crime, Mystery*;Indra Kumar;*Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh*;6.2;"6;068"
Masti Bhari Jawani;2005;*Thriller*;Shakeela;*,,*;;
Masti Express;2011;*Adventure, Comedy, Drama*;Vikram Pradhan;*Rajpal Yadav,Johnny Lever,Divya Dutta*;5.1;91
Masti Ka Yeh Aalam;2003;*Comedy*;;*,,*;;
Masti Ke Do Pal;2000;*Thriller*;Maria;*Roshni,,*;;
MASTI NAHI SASTI;2017;*Comedy*;Prem Chopra;*Jagdeep,Shakti Kapoor,Kader Khan*;3.3;6
Mastizaade;2016;*Comedy*;Milap Zaveri;*Tusshar Kapoor,Vir Das,Sunny Leone*;2.4;"2;622"
Mastram;2013;*Biography, Drama*;Akhilesh Jaiswal;*Dhwani Gautam,Rahul Bagga,Tara-Alisha Berry*;4.8;514
Mastram Returns;;**;Akhilesh Jaiswal;*,,*;;
Mata;1942;**;Gunjal;*Shobhna Samarth,Chandrakant,Moti*;;
Mata Mahakali;1968;*Fantasy*;Dhirubhai Desai;*Nalini Chonkar,Jayshree Gadkar,Shahu Modak*;;
Matak vivah;2020;*Drama*;Ram Tiwari;*Amit Jaat,Sahil Mishra,*;;
Match Fixing;2002;*Comedy*;Raghuvaran;*Prakash Raj,Simran,Raju Sundaram*;;
Match Of Life;2020;*Comedy*;Aman Sagar;*Rajpal Yadav,Stefy Patel,Supriya Karnik*;5.4;5
Mati Manas;1985;*Documentary, Drama*;Mani Kaul;*Robin Das,Anita Kanwar,Ashok Sharma*;7.7;42
Matlabi;1948;**;Master Bhagwan;*,,*;;
Matlabi;1989;*Drama*;;*,,*;;
Matlabi Duniya;1936;*Drama*;Jayant Desai;*Ram Apte,,*;;
Matlabi Duniya;1961;**;Radhakant;*Dhumal,Ananth Kumar,Satish Vyas*;;
Matlahi;1948;**;Master Bhagwan;*,,*;;
Matru ki Bijlee ka Mandola;2013;*Comedy, Drama*;Vishal Bhardwaj;*Pankaj Kapur,Imran Khan,Anushka Sharma*;5.6;"6;035"
Matrubhoomi;1949;**;Ishwarlal;*,,*;;
Matrubhoomi: A Nation Without Women;2003;*Drama*;Manish Jha;*Tulip Joshi,Sudhir Pandey,Sushant Singh*;7.7;"2;042"
Matsar;2017;*Drama, Family*;Dave Jigar;*Archan Trivedi,Pranshi Patel,Karm Vyas*;;
Matsya Gandha;1934;**;Maruti Rao;*Tara,,*;;
Matto Ki Saikil;2020;*Drama*;M. Gani;*Anita Choudhary,Prakash Jha,Dimpy Mishra*;;
Matwala;1958;*Comedy*;Anjali Devi;*Ranjan,,*;;
Matwala Shair Ram Joshi;1947;**;Baburao Painter;*Shantaram Rajaram Vankudre,,*;;
Matwale;1947;**;Master Bhagwan;*,,*;;
Matwali Jogan;1936;**;K. Amarnath;*,,*;;
Matwali Meera;1947;**;Baburao Patel;*Mukhtar Begum,Nissar,Ranjit Kumari*;;
Matwali Padosan;2003;*Thriller*;Poonam Dasgupta;*Lekha Paul,Shakeela,*;;
Matwali Sali;2001;*Thriller*;Bhaskar;*Devika,Sharmili,*;;
